d,a,b,q,lcm_a_b,lcm_a_b_factorization,support_count,template,dominant_prime,small_prime_powers,automatic_small_prime_powers,nonautomatic_small_prime_powers,prime_condition,prime_condition_enough_on_n_1_mod_24,automatic_reasons
39,1,155,620,155,5*31,7572,G: one dominant prime factor,31,5,,5,"n mod 31 in {0,23}",False,
35,1,139,556,139,139,7475,"F1: a=1, b=p=4d-1",139,,,,"n mod 139 in {0,104}",True,
35,3,137,1644,411,3*137,7223,"F3: a=3, b=p=4d-3",137,3,3,,"n mod 137 in {0,102}",True,n == 1 mod 3 and d == 2 mod 3
23,18,74,1332,666,2*3^2*37,7048,G: one dominant prime factor,37,2;9,2,9,"n mod 37 in {0,14}",False,"n is odd and d is odd, so n+d is even"
23,9,83,2988,747,3^2*83,6460,G: one dominant prime factor,83,9,,9,"n mod 83 in {0,60}",False,
71,8,276,552,552,2^3*3*23,6182,G: one dominant prime factor,23,8;3,8;3,,"n mod 23 in {0,21}",True,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
59,6,230,1380,690,2*3*5*23,5977,G: one dominant prime factor,23,2;3;5,2;3,5,"n mod 23 in {0,10}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
51,2,202,404,202,2*101,5941,"F2: a=2, b=2p, p=2d-1",101,2,2,,"n mod 101 in {0,50}",True,"n is odd and d is odd, so n+d is even"
55,8,212,424,424,2^3*53,5871,G: one dominant prime factor,53,8,8,,"n mod 53 in {0,51}",True,n == 1 mod 8 and d == 7 mod 8
39,4,152,152,152,2^3*19,5722,G: one dominant prime factor,19,8,8,,"n mod 19 in {0,18}",True,n == 1 mod 8 and d == 7 mod 8
55,2,218,436,218,2*109,5480,"F2: a=2, b=2p, p=2d-1",109,2,2,,"n mod 109 in {0,54}",True,"n is odd and d is odd, so n+d is even"
11,17,27,1836,459,3^3*17,4915,G: one dominant prime factor,17,27,,27,"n mod 17 in {0,6}",False,
47,47,141,564,141,3*47,4884,G: one dominant prime factor,47,3,3,,"n mod 47 in {0,0}",True,n == 1 mod 3 and d == 2 mod 3
95,8,372,744,744,2^3*3*31,4772,G: one dominant prime factor,31,8;3,8;3,,"n mod 31 in {0,29}",True,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
47,16,172,688,688,2^4*43,4685,G: one dominant prime factor,43,16,,16,"n mod 43 in {0,39}",False,
71,2,282,564,282,2*3*47,4660,G: one dominant prime factor,47,2;3,2;3,,"n mod 47 in {0,23}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
31,32,92,736,736,2^5*23,4490,G: one dominant prime factor,23,32,,32,"n mod 23 in {0,15}",False,
