n,d,a,b,x,y,z,verified,covered_by_divisor,n_mod_120,n_mod_840,n_mod_2520,n_mod_27720
469105,,,,,,,True,5,25,385,385,25585
469129,,,,,,,True,19,49,409,409,25609
469153,7,8,20,117290,27513477685,11005391074,True,,73,433,433,25633
469177,,,,,,,True,23,97,457,457,25657
469201,,,,,,,True,47,1,481,481,25681
469225,,,,,,,True,5,25,505,505,25705
469249,,,,,,,True,11,49,529,529,25729
469273,,,,,,,True,7,73,553,553,25753
469297,,,,,,,True,89,97,577,577,25777
469321,15,2,58,117334,110134620428,3797745532,True,,1,601,601,25801
469345,,,,,,,True,5,25,625,625,25825
469369,23,4,88,117348,55079513412,2503614246,True,,49,649,649,25849
469393,,,,,,,True,367,73,673,673,25873
469417,,,,,,,True,13,97,697,697,25897
469441,,,,,,,True,7,1,721,721,25921
469465,,,,,,,True,5,25,745,745,25945
469489,,,,,,,True,17,49,769,769,25969
469513,,,,,,,True,11,73,793,793,25993
469537,,,,,,,True,617,97,817,817,26017
469561,119,20,456,117420,11027170524,483647830,True,,1,1,841,26041
469585,,,,,,,True,5,25,25,865,26065
469609,,,,,,,True,7,49,49,889,26089
469633,,,,,,,True,53,73,73,913,26113
469657,3,2,10,117415,110289553310,22057910662,True,,97,97,937,26137
469681,,,,,,,True,31,1,121,961,26161
469705,,,,,,,True,5,25,145,985,26185
469729,,,,,,,True,13,49,169,1009,26209
469753,7,8,20,117440,27583896160,11033558464,True,,73,193,1033,26233
469777,,,,,,,True,7,97,217,1057,26257
469801,11,2,42,117453,110359073706,5255193986,True,,1,241,1081,26281
469825,,,,,,,True,5,25,265,1105,26305
469849,11,3,41,117465,73587750380,5384469540,True,,49,289,1129,26329
469873,,,,,,,True,547,73,313,1153,26353
469897,,,,,,,True,17,97,337,1177,26377
469921,,,,,,,True,311,1,361,1201,26401
469945,,,,,,,True,5,25,385,1225,26425
469969,7,2,26,117494,110437075372,8495159644,True,,49,409,1249,26449
469993,7,8,20,117500,27612088750,11044835500,True,,73,433,1273,26473
470017,,,,,,,True,307,97,457,1297,26497
470041,,,,,,,True,11,1,481,1321,26521
470065,,,,,,,True,5,25,505,1345,26545
470089,119,2,474,117552,110519804256,466328288,True,,49,529,1369,26569
470113,,,,,,,True,7,73,553,1393,26593
470137,,,,,,,True,229,97,577,1417,26617
470161,15,4,56,117544,55264604584,3947471756,True,,1,601,1441,26641
470185,,,,,,,True,5,25,625,1465,26665
470209,11,10,34,117555,22110167598,6502990470,True,,49,649,1489,26689
470233,,,,,,,True,37,73,673,1513,26713
470257,,,,,,,True,421,97,697,1537,26737
470281,,,,,,,True,7,1,721,1561,26761
470305,,,,,,,True,5,25,745,1585,26785
470329,,,,,,,True,47,49,769,1609,26809
470353,,,,,,,True,13,73,793,1633,26833
470377,,,,,,,True,43,97,817,1657,26857
470401,,,,,,,True,103,1,1,1681,26881
470425,,,,,,,True,5,25,25,1705,26905
470449,,,,,,,True,7,49,49,1729,26929
470473,7,8,20,117620,27668517130,11067406852,True,,73,73,1753,26953
470497,,,,,,,True,19,97,97,1777,26977
470521,39,20,136,117640,11070418088,1628002660,True,,1,121,1801,27001
470545,,,,,,,True,5,25,145,1825,27025
470569,,,,,,,True,11,49,169,1849,27049
470593,7,2,26,117650,110730532900,8517733300,True,,73,193,1873,27073
470617,,,,,,,True,7,97,217,1897,27097
470641,,,,,,,True,29,1,241,1921,27121
470665,,,,,,,True,5,25,265,1945,27145
470689,15,8,52,117676,27694399382,4260676828,True,,49,289,1969,27169
470713,,,,,,,True,17,73,313,1993,27193
470737,,,,,,,True,61,97,337,2017,27217
470761,,,,,,,True,59,1,361,2041,27241
470785,,,,,,,True,5,25,385,2065,27265
470809,,,,,,,True,67,49,409,2089,27289
470833,,,,,,,True,11,73,433,2113,27313
470857,,,,,,,True,479,97,457,2137,27337
470881,23,8,84,117726,27717468303,2639758886,True,,1,481,2161,27361
470905,,,,,,,True,5,25,505,2185,27385
470929,,,,,,,True,487,49,529,2209,27409
470953,,,,,,,True,7,73,553,2233,27433
470977,,,,,,,True,13,97,577,2257,27457
471001,,,,,,,True,449,1,601,2281,27481
471025,,,,,,,True,5,25,625,2305,27505
471049,,,,,,,True,41,49,649,2329,27529
471073,7,8,20,117770,27739133605,11095653442,True,,73,673,2353,27553
471097,,,,,,,True,11,97,697,2377,27577
471121,,,,,,,True,7,1,721,2401,27601
471145,,,,,,,True,5,25,745,2425,27625
471169,,,,,,,True,31,49,769,2449,27649
471193,3,1,11,117799,222024256828,20184023348,True,,73,793,2473,27673
471217,3,2,10,117805,111023437370,22204687474,True,,97,817,2497,27697
471241,35,26,114,117819,8541714366,1948110294,True,,1,1,1,1
471265,,,,,,,True,5,25,25,25,25
471289,,,,,,,True,7,49,49,49,49
471313,7,8,20,117830,27767405395,11106962158,True,,73,73,73,73
471337,,,,,,,True,29,97,97,97,97
471361,,,,,,,True,11,1,121,121,121
471385,,,,,,,True,5,25,145,145,145
471409,,,,,,,True,19,49,169,169,169
471433,,,,,,,True,89,73,193,193,193
471457,,,,,,,True,7,97,217,217,217
471481,11,2,42,117873,111149759826,5292845706,True,,1,241,241,241
471505,,,,,,,True,5,25,265,265,265
471529,,,,,,,True,17,49,289,289,289
471553,7,8,20,117890,27795691585,11118276634,True,,73,313,313,313
471577,,,,,,,True,409,97,337,337,337
471601,,,,,,,True,13,1,361,361,361
471625,,,,,,,True,5,25,385,385,385
471649,11,2,42,117915,111228983670,5296618270,True,,49,409,409,409
471673,7,8,20,117920,27809840080,11123936032,True,,73,433,433,433
471697,3,2,10,117925,111249737450,22249947490,True,,97,457,457,457
471721,3,1,11,117931,222522117004,20229283364,True,,1,481,481,481
471745,,,,,,,True,5,25,505,505,505
471769,39,4,152,117952,55646097088,1464370976,True,,49,529,529,529
471793,,,,,,,True,7,73,553,553,553
471817,3,2,10,117955,111306348470,22261269694,True,,97,577,577,577
471841,7,2,26,117962,111318616084,8562970468,True,,1,601,601,601
471865,,,,,,,True,5,25,625,625,625
471889,,,,,,,True,11,49,649,649,649
471913,,,,,,,True,13,73,673,673,673
471937,,,,,,,True,17,97,697,697,697
471961,,,,,,,True,7,1,721,721,721
471985,,,,,,,True,5,25,745,745,745
472009,,,,,,,True,37,49,769,769,769
472033,,,,,,,True,29,73,793,793,793
472057,3,2,10,118015,111419613710,22283922742,True,,97,817,817,817
472081,,,,,,,True,457,1,1,841,841
472105,,,,,,,True,5,25,25,865,865
472129,,,,,,,True,7,49,49,889,889
472153,,,,,,,True,11,73,73,913,913
472177,,,,,,,True,53,97,97,937,937
472201,,,,,,,True,61,1,121,961,961
472225,,,,,,,True,5,25,145,985,985
472249,3,1,11,118063,223020534748,20274594068,True,,49,169,1009,1009
472273,7,8,20,118070,27880636555,11152254622,True,,73,193,1033,1033
472297,,,,,,,True,7,97,217,1057,1057
472321,,,,,,,True,19,1,241,1081,1081
472345,,,,,,,True,5,25,265,1105,1105
472369,15,16,44,118096,13946222356,5071353584,True,,49,289,1129,1129
472393,7,8,20,118100,27894806650,11157922660,True,,73,313,1153,1153
472417,,,,,,,True,11,97,337,1177,1177
472441,,,,,,,True,43,1,361,1201,1201
472465,,,,,,,True,5,25,385,1225,1225
472489,,,,,,,True,23,49,409,1249,1249
472513,,,,,,,True,137,73,433,1273,1273
472537,,,,,,,True,13,97,457,1297,1297
472561,15,8,52,118144,27915123392,4294634368,True,,1,481,1321,1321
472585,,,,,,,True,5,25,505,1345,1345
472609,,,,,,,True,293,49,529,1369,1369
472633,,,,,,,True,7,73,553,1393,1393
472657,,,,,,,True,31,97,577,1417,1417
472681,,,,,,,True,11,1,601,1441,1441
472705,,,,,,,True,5,25,625,1465,1465
472729,,,,,,,True,29,49,649,1489,1489
472753,,,,,,,True,17,73,673,1513,1513
472777,,,,,,,True,19,97,697,1537,1537
472801,,,,,,,True,7,1,721,1561,1561
472825,,,,,,,True,5,25,745,1585,1585
472849,,,,,,,True,13,49,769,1609,1609
472873,,,,,,,True,103,73,793,1633,1633
472897,,,,,,,True,37,97,817,1657,1657
472921,55,14,206,118244,15977163064,1085826616,True,,1,1,1681,1681
472945,,,,,,,True,5,25,25,1705,1705
472969,,,,,,,True,7,49,49,1729,1729
