focus_r,d,a,b,missing_prime,count,avg_lift_ratio,example_residues
961,35,18,122,61,164,147.292682927,33754681;77718601;88027540561;524061699121;112251660481
529,87,2,346,173,163,173,27387889;48168649;89730169;24611026969;122114352889
961,63,16,236,59,162,59,73274161;87448321;19591092481;74260827601;121120600561
961,71,36,248,31,162,77.3086419753,123844681;56258923681;130122633601;216296961841;125754710041
529,87,154,194,97,161,97,104745169;388698590809;144095712289;37762845649;110655505489
289,63,11,241,241,160,241,9467017849;49468539409;77520042889;96221045209;7527440209
361,59,105,131,131,160,131,70150441;120841081;152312521;64004380801;313950557281
361,35,9,131,131,160,273.4625,136576801;187156209601;323490487681;330775525441;20467727641
841,119,20,456,19,160,19,45045841;72433201;113514241;232192801;252733321
961,35,9,131,131,160,335.6875,81682561;113754601;84850606801;160302783601;188895187441
961,15,23,37,37,160,657.675,88649521;21576676081;42888606721;155537382961;584820557281
841,75,2,298,149,159,149,28469281;46367161;202282921;207448081;255976561
841,59,30,206,103,158,103,214415041;276276841;325766281;375255721;412372801
361,35,18,122,61,157,130.936305732,83603881;105585841;149549761;33650056801;160617857761
361,79,11,305,61,156,61,17177521;97778041;134414641;156396601;163723921
361,95,4,376,47,155,47,72312601;106186441;131824613281;343784521441;409002954721
289,35,18,122,3,153,183,32432689;7022695969;70924253689;78024426769;85124599849
289,71,16,268,67,153,110.352941176,28866397849;54861567049;86055770089;91254803929;106851905449
529,63,1,251,251,153,251,156036409;52227575929;52979046649;939939529;47343256489
289,87,2,346,173,152,173,47722595209;74571337129;78800401969;81283522609;108132264529
841,95,104,276,23,151,23,45646441;51171961;84325081;134054761;255616201
841,35,9,131,131,150,342.346666667,39760561;228589201;275796361;323003521;338138641
961,119,6,470,47,150,47,63671048401;94778524801;6751705921;37859182321;56523668161
289,71,48,236,59,149,95.033557047,17898169;3802398889;63319696729;67897950409;99945726169
529,107,2,426,71,149,71,57538009;134294689;111405895129;57863846569;184111528129
529,95,24,356,89,149,89,117958369;33440807929;14090677129;198013135849;57676579489
529,71,10,274,137,149,137,176697049;10708818649;62184562969;15217883209;92431499689
289,83,6,326,163,148,163,10980169489;25064119369;80546346169;94630296049;17343526489
529,119,4,472,59,148,59,97417849;168288649;104079055609;115163248729;214920986809
529,91,2,362,181,148,181,4133449849;43773530329;86795469289;120799519369;160439599849
529,95,78,302,151,147,151,54535009;59219689;79844124889;33065913409;135641666689
