d,a,b,q,lcm_a_b,lcm_a_b_factorization,support_count,template,dominant_prime,residue_count,residue_set,prime_power_local_conditions,hard_core_residues_mod_p,"hard_core_matches_{0,-d}_mod_p"
63,64,188,3008,3008,2^6*47,421,"G: one dominant prime factor in lcm(a,b)",47,2,705;2945,"2^6 mod 64: [0, 1]; 47^1 mod 47: [0, 31]",,False
55,56,164,2296,2296,2^3*7*41,418,"G: one dominant prime factor in lcm(a,b)",41,4,273;1681;2009;2241,"2^3 mod 8: [0, 1]; 7^1 mod 7: [0, 1]; 41^1 mod 41: [0, 27]",,False
119,6,470,2820,1410,2*3*5*47,414,"G: one dominant prime factor in lcm(a,b)",47,8,141;445;705;1081;1645;1761;2325;2701,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 1]; 47^1 mod 47: [0, 22]",,False
75,13,287,14924,3731,7*13*41,412,"G: one dominant prime factor in lcm(a,b)",41,8,861;1729;4797;6321;9389;10257;11193;14849,"7^1 mod 7: [0, 2]; 13^1 mod 13: [0, 3]; 41^1 mod 41: [0, 7]",,False
99,2,394,788,394,2*197,410,"F2: a=2, b=2p, p=2d-1",197,2,197;689,"2^1 mod 2: [0, 1]; 197^1 mod 197: [0, 98]",0;98,True
135,4,536,536,536,2^3*67,409,"G: one dominant prime factor in lcm(a,b)",67,2,201;401,"2^3 mod 8: [0, 1]; 67^1 mod 67: [0, 66]",0;66,True
95,3,377,4524,1131,3*13*29,405,"G: one dominant prime factor in lcm(a,b)",29,8,841;949;1413;1885;2349;2457;3393;4429,"3^1 mod 3: [0, 1]; 13^1 mod 13: [0, 9]; 29^1 mod 29: [0, 21]",,False
47,54,134,7236,3618,2*3^3*67,401,"G: one dominant prime factor in lcm(a,b)",67,4,1809;4489;4509;7189,"2^1 mod 2: [0, 1]; 3^3 mod 27: [0, 7]; 67^1 mod 67: [0, 20]",,False
71,71,213,852,213,3*71,390,"G: one dominant prime factor in lcm(a,b)",71,2,213;781,"3^1 mod 3: [0, 1]; 71^1 mod 71: [0]",0,False
111,20,424,2120,2120,2^3*5*53,383,"G: one dominant prime factor in lcm(a,b)",53,4,265;689;1585;2009,"2^3 mod 8: [0, 1]; 5^1 mod 5: [0, 4]; 53^1 mod 53: [0, 48]",,False
39,22,134,2948,1474,2*11*67,381,"G: one dominant prime factor in lcm(a,b)",67,4,737;1809;1837;2909,"2^1 mod 2: [0, 1]; 11^1 mod 11: [0, 5]; 67^1 mod 67: [0, 28]",,False
87,16,332,1328,1328,2^4*83,379,"G: one dominant prime factor in lcm(a,b)",83,2,249;1241,"2^4 mod 16: [0, 9]; 83^1 mod 83: [0, 79]",,False
83,1,331,1324,331,331,378,"F1: a=1, b=p=4d-1",331,2,993;1241,"331^1 mod 331: [0, 248]",0;248,True
119,16,460,1840,1840,2^4*5*23,371,"G: one dominant prime factor in lcm(a,b)",23,4,345;985;1081;1721,"2^4 mod 16: [0, 9]; 5^1 mod 5: [0, 1]; 23^1 mod 23: [0, 19]",,False
55,26,194,5044,2522,2*13*97,369,"G: one dominant prime factor in lcm(a,b)",97,4,1261;1885;4365;4989,"2^1 mod 2: [0, 1]; 13^1 mod 13: [0, 10]; 97^1 mod 97: [0, 42]",,False
35,38,102,3876,1938,2*3*17*19,368,"G: one dominant prime factor in lcm(a,b)",19,8,969;1105;1257;2397;2413;3553;3705;3841,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 17^1 mod 17: [0, 16]; 19^1 mod 19: [0, 3]",,False
143,4,568,568,568,2^3*71,366,"G: one dominant prime factor in lcm(a,b)",71,2,425;497,"2^3 mod 8: [0, 1]; 71^1 mod 71: [0, 70]",0;70,True
111,8,436,872,872,2^3*109,365,"G: one dominant prime factor in lcm(a,b)",109,2,545;761,"2^3 mod 8: [0, 1]; 109^1 mod 109: [0, 107]",0;107,True
55,92,128,2944,2944,2^7*23,361,"G: one dominant prime factor in lcm(a,b)",23,2,713;2889,"2^7 mod 128: [0, 73]; 23^1 mod 23: [0, 14]",,False
59,42,194,8148,4074,2*3*7*97,360,"G: one dominant prime factor in lcm(a,b)",97,8,2037;3045;4365;4753;5373;5761;7081;8089,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 4]; 97^1 mod 97: [0, 38]",,False
87,1,347,1388,347,347,358,"F1: a=1, b=p=4d-1",347,2,1041;1301,"347^1 mod 347: [0, 260]",0;260,True
27,47,61,11468,2867,47*61,357,"G: one dominant prime factor in lcm(a,b)",61,4,705;7869;8601;11441,"47^1 mod 47: [0, 20]; 61^1 mod 61: [0, 34]",,False
119,24,452,2712,2712,2^3*3*113,357,"F5: a=24, b=4p, p=d-6",113,4,1017;1689;1921;2593,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 113^1 mod 113: [0, 107]",0;107,True
59,21,215,18060,4515,3*5*7*43,355,"G: one dominant prime factor in lcm(a,b)",43,16,301;2881;3381;4585;5961;6321;7165;7525;8901;10105;10605;13185;13545;15421;16125;18001,"3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 1]; 7^1 mod 7: [0, 4]; 43^1 mod 43: [0, 27]",,False
107,6,422,2532,1266,2*3*211,347,"F4: a=6, b=2p, p=2d-3",211,4,633;1477;1581;2425,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 211^1 mod 211: [0, 104]",0;104,True
131,6,518,3108,1554,2*3*7*37,339,"G: one dominant prime factor in lcm(a,b)",37,8,37;609;777;1645;1813;1941;2109;2977,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 2]; 37^1 mod 37: [0, 17]",,False
55,14,206,2884,1442,2*7*103,337,"G: one dominant prime factor in lcm(a,b)",103,4,309;357;721;2829,"2^1 mod 2: [0, 1]; 7^1 mod 7: [0, 1]; 103^1 mod 103: [0, 48]",,False
83,66,266,17556,8778,2*3*7*11*19,336,"G: one dominant prime factor in lcm(a,b)",19,16,4389;4845;5313;5769;6517;7441;8569;9493;12369;13293;14421;15345;16093;16549;17017;17473,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 1]; 11^1 mod 11: [0, 5]; 19^1 mod 19: [0, 12]",,False
79,32,284,2272,2272,2^5*71,331,"G: one dominant prime factor in lcm(a,b)",71,2,497;2193,"2^5 mod 32: [0, 17]; 71^1 mod 71: [0, 63]",,False
59,7,229,6412,1603,7*229,330,"G: one dominant prime factor in lcm(a,b)",229,4,1145;3605;4809;6353,"7^1 mod 7: [0, 4]; 229^1 mod 229: [0, 170]",,False
95,48,332,3984,3984,2^4*3*83,330,"G: one dominant prime factor in lcm(a,b)",83,4,913;1233;2241;3889,"2^4 mod 16: [0, 1]; 3^1 mod 3: [0, 1]; 83^1 mod 83: [0, 71]",,False
39,25,131,13100,3275,5^2*131,328,"G: one dominant prime factor in lcm(a,b)",131,4,4061;5725;9825;13061,"5^2 mod 25: [0, 11]; 131^1 mod 131: [0, 92]",,False
35,41,99,16236,4059,3^2*11*41,322,"G: one dominant prime factor in lcm(a,b)",41,8,1441;3573;5049;7093;8569;10701;12177;16201,"3^2 mod 9: [0, 1]; 11^1 mod 11: [0, 9]; 41^1 mod 41: [0, 6]",,False
95,26,354,9204,4602,2*3*13*59,322,"G: one dominant prime factor in lcm(a,b)",59,8,2301;2973;3445;4897;6513;7965;8437;9109,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 13^1 mod 13: [0, 9]; 59^1 mod 59: [0, 23]",,False
119,32,444,3552,3552,2^5*3*37,320,"G: one dominant prime factor in lcm(a,b)",37,4,777;1065;3145;3433,"2^5 mod 32: [0, 9]; 3^1 mod 3: [0, 1]; 37^1 mod 37: [0, 29]",,False
31,38,86,3268,1634,2*19*43,318,"G: one dominant prime factor in lcm(a,b)",43,4,817;2021;2033;3237,"2^1 mod 2: [0, 1]; 19^1 mod 19: [0, 7]; 43^1 mod 43: [0, 12]",,False
35,47,93,17484,4371,3*31*47,316,"G: one dominant prime factor in lcm(a,b)",47,8,1081;5793;6169;6909;7285;11997;13113;17449,"3^1 mod 3: [0, 1]; 31^1 mod 31: [0, 27]; 47^1 mod 47: [0, 12]",,False
27,34,74,2516,1258,2*17*37,311,"G: one dominant prime factor in lcm(a,b)",37,4,629;925;2193;2489,"2^1 mod 2: [0, 1]; 17^1 mod 17: [0, 7]; 37^1 mod 37: [0, 10]",,False
35,17,123,8364,2091,3*17*41,304,"G: one dominant prime factor in lcm(a,b)",41,8,697;1189;5049;5541;6273;6765;7837;8329,"3^1 mod 3: [0, 1]; 17^1 mod 17: [0, 16]; 41^1 mod 41: [0, 6]",,False
59,90,146,13140,6570,2*3^2*5*73,304,"G: one dominant prime factor in lcm(a,b)",73,8,3285;4905;6205;7825;8541;10161;11461;13081,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 4]; 5^1 mod 5: [0, 1]; 73^1 mod 73: [0, 14]",,False
71,10,274,2740,1370,2*5*137,291,"G: one dominant prime factor in lcm(a,b)",137,4,685;1025;2329;2669,"2^1 mod 2: [0, 1]; 5^1 mod 5: [0, 4]; 137^1 mod 137: [0, 66]",,False
87,56,292,4088,4088,2^3*7*73,289,"G: one dominant prime factor in lcm(a,b)",73,4,497;2993;3577;4001,"2^3 mod 8: [0, 1]; 7^1 mod 7: [0, 4]; 73^1 mod 73: [0, 59]",,False
79,80,236,4720,4720,2^4*5*59,285,"G: one dominant prime factor in lcm(a,b)",59,4,865;1121;2065;4641,"2^4 mod 16: [0, 1]; 5^1 mod 5: [0, 1]; 59^1 mod 59: [0, 39]",,False
23,19,73,5548,1387,19*73,282,"G: one dominant prime factor in lcm(a,b)",73,4,1729;2409;4161;5525,"19^1 mod 19: [0, 15]; 73^1 mod 73: [0, 50]",,False
71,68,216,3672,3672,2^3*3^3*17,281,"G: one dominant prime factor in lcm(a,b)",17,4,1377;2241;2737;3601,"2^3 mod 8: [0, 1]; 3^3 mod 27: [0, 10]; 17^1 mod 17: [0, 14]",,False
83,83,249,996,249,3*83,280,"G: one dominant prime factor in lcm(a,b)",83,2,249;913,"3^1 mod 3: [0, 1]; 83^1 mod 83: [0]",0,False
35,33,107,14124,3531,3*11*107,277,"G: one dominant prime factor in lcm(a,b)",107,8,1177;3817;6741;9381;10593;11449;13233;14089,"3^1 mod 3: [0, 1]; 11^1 mod 11: [0, 9]; 107^1 mod 107: [0, 72]",,False
59,86,150,12900,6450,2*3*5^2*43,277,"G: one dominant prime factor in lcm(a,b)",43,8,3225;3741;7525;8025;8041;8541;12325;12841,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 5^2 mod 25: [0, 16]; 43^1 mod 43: [0, 27]",,False
95,1,379,1516,379,379,276,"F1: a=1, b=p=4d-1",379,2,1137;1421,"379^1 mod 379: [0, 284]",0;284,True
95,68,312,5304,5304,2^3*3*13*17,274,"G: one dominant prime factor in lcm(a,b)",17,8,585;1105;2193;2353;3441;3961;4641;5209,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 13^1 mod 13: [0, 9]; 17^1 mod 17: [0, 7]",,False
143,56,516,7224,7224,2^3*3*7*43,272,"G: one dominant prime factor in lcm(a,b)",43,8,889;2265;2881;3297;3913;5289;6321;7081,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 4]; 43^1 mod 43: [0, 29]",,False
71,15,269,16140,4035,3*5*269,270,"G: one dominant prime factor in lcm(a,b)",269,8,1005;1345;5649;6385;10689;11029;12105;16069,"3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 4]; 269^1 mod 269: [0, 198]",,False
59,70,166,11620,5810,2*5*7*83,267,"G: one dominant prime factor in lcm(a,b)",83,8,581;2265;2905;4921;7221;7245;9545;11561,"2^1 mod 2: [0, 1]; 5^1 mod 5: [0, 1]; 7^1 mod 7: [0, 4]; 83^1 mod 83: [0, 24]",,False
51,46,158,7268,3634,2*23*79,266,"G: one dominant prime factor in lcm(a,b)",79,4,869;897;1817;7217,"2^1 mod 2: [0, 1]; 23^1 mod 23: [0, 18]; 79^1 mod 79: [0, 28]",,False
87,14,334,4676,2338,2*7*167,265,"G: one dominant prime factor in lcm(a,b)",167,4,501;581;1169;4589,"2^1 mod 2: [0, 1]; 7^1 mod 7: [0, 4]; 167^1 mod 167: [0, 80]",,False
63,68,184,3128,3128,2^3*17*23,262,"G: one dominant prime factor in lcm(a,b)",23,4,345;2329;2737;3065,"2^3 mod 8: [0, 1]; 17^1 mod 17: [0, 5]; 23^1 mod 23: [0, 6]",,False
99,1,395,1580,395,5*79,260,"G: one dominant prime factor in lcm(a,b)",79,4,1165;1185;1481;1501,"5^1 mod 5: [0, 1]; 79^1 mod 79: [0, 59]",,False
35,29,111,12876,3219,3*29*37,257,"G: one dominant prime factor in lcm(a,b)",37,8,261;777;4257;5365;8845;9361;9657;12841,"3^1 mod 3: [0, 1]; 29^1 mod 29: [0, 23]; 37^1 mod 37: [0, 2]",,False
87,32,316,2528,2528,2^5*79,245,"G: one dominant prime factor in lcm(a,b)",79,2,553;2441,"2^5 mod 32: [0, 9]; 79^1 mod 79: [0, 71]",,False
95,96,284,6816,6816,2^5*3*71,245,"G: one dominant prime factor in lcm(a,b)",71,4,1633;4449;6177;6721,"2^5 mod 32: [0, 1]; 3^1 mod 3: [0, 1]; 71^1 mod 71: [0, 47]",,False
35,57,83,18924,4731,3*19*83,243,"G: one dominant prime factor in lcm(a,b)",83,8,1957;5893;6273;7885;8265;12201;14193;18889,"3^1 mod 3: [0, 1]; 19^1 mod 19: [0, 3]; 83^1 mod 83: [0, 48]",,False
59,45,191,34380,8595,3^2*5*191,239,"G: one dominant prime factor in lcm(a,b)",191,8,2101;23625;25785;27445;29605;30501;32661;34321,"3^2 mod 9: [0, 4]; 5^1 mod 5: [0, 1]; 191^1 mod 191: [0, 132]",,False
159,4,632,632,632,2^3*79,237,"G: one dominant prime factor in lcm(a,b)",79,2,473;553,"2^3 mod 8: [0, 1]; 79^1 mod 79: [0, 78]",0;78,True
39,55,101,22220,5555,5*11*101,232,"G: one dominant prime factor in lcm(a,b)",101,8,4141;4405;8041;8585;12221;12485;16665;22181,"5^1 mod 5: [0, 1]; 11^1 mod 11: [0, 5]; 101^1 mod 101: [0, 62]",,False
83,18,314,5652,2826,2*3^2*157,230,"G: one dominant prime factor in lcm(a,b)",157,4,1413;2041;4941;5569,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 7]; 157^1 mod 157: [0, 74]",,False
35,34,106,3604,1802,2*17*53,226,"G: one dominant prime factor in lcm(a,b)",53,4,901;1325;3145;3569,"2^1 mod 2: [0, 1]; 17^1 mod 17: [0, 16]; 53^1 mod 53: [0, 18]",,False
59,35,201,28140,7035,3*5*7*67,225,"G: one dominant prime factor in lcm(a,b)",67,16,1005;1281;2881;4221;8785;9321;11725;12261;16825;18165;19765;20041;21105;22981;26205;28081,"3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 1]; 7^1 mod 7: [0, 4]; 67^1 mod 67: [0, 8]",,False
59,63,173,43596,10899,3^2*7*173,225,"G: one dominant prime factor in lcm(a,b)",173,8,2709;12397;20241;29929;32697;33849;42385;43537,"3^2 mod 9: [0, 4]; 7^1 mod 7: [0, 4]; 173^1 mod 173: [0, 114]",,False
83,3,329,3948,987,3*7*47,225,"G: one dominant prime factor in lcm(a,b)",47,8,105;141;1233;1645;2737;2773;2961;3865,"3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 1]; 47^1 mod 47: [0, 11]",,False
79,5,311,6220,1555,5*311,223,"G: one dominant prime factor in lcm(a,b)",311,4,1165;3421;4665;6141,"5^1 mod 5: [0, 1]; 311^1 mod 311: [0, 232]",,False
167,12,656,1968,1968,2^4*3*41,221,"G: one dominant prime factor in lcm(a,b)",41,4,489;697;1353;1801,"2^4 mod 16: [0, 9]; 3^1 mod 3: [0, 1]; 41^1 mod 41: [0, 38]",,False
95,32,348,2784,2784,2^5*3*29,220,"G: one dominant prime factor in lcm(a,b)",29,4,609;1537;1761;2689,"2^5 mod 32: [0, 1]; 3^1 mod 3: [0, 1]; 29^1 mod 29: [0, 21]",,False
191,20,744,3720,3720,2^3*3*5*31,219,"G: one dominant prime factor in lcm(a,b)",31,8,465;1209;1545;1705;2289;2449;2785;3529,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 4]; 31^1 mod 31: [0, 26]",,False
75,118,182,21476,10738,2*7*13*59,217,"G: one dominant prime factor in lcm(a,b)",59,8,5369;8437;10325;13377;13393;16445;18333;21401,"2^1 mod 2: [0, 1]; 7^1 mod 7: [0, 2]; 13^1 mod 13: [0, 3]; 59^1 mod 59: [0, 43]",,False
115,2,458,916,458,2*229,216,"F2: a=2, b=2p, p=2d-1",229,2,229;801,"2^1 mod 2: [0, 1]; 229^1 mod 229: [0, 114]",0;114,True
27,19,89,6764,1691,19*89,216,"G: one dominant prime factor in lcm(a,b)",89,4,2109;2937;5073;6737,"19^1 mod 19: [0, 11]; 89^1 mod 89: [0, 62]",,False
167,4,664,664,664,2^3*83,214,"G: one dominant prime factor in lcm(a,b)",83,2,249;497,"2^3 mod 8: [0, 1]; 83^1 mod 83: [0, 82]",0;82,True
79,104,212,5512,5512,2^3*13*53,214,"G: one dominant prime factor in lcm(a,b)",53,4,689;2041;4081;5433,"2^3 mod 8: [0, 1]; 13^1 mod 13: [0, 12]; 53^1 mod 53: [0, 27]",,False
51,11,193,8492,2123,11*193,213,"G: one dominant prime factor in lcm(a,b)",193,4,6369;6897;7913;8441,"11^1 mod 11: [0, 4]; 193^1 mod 193: [0, 142]",,False
143,36,536,4824,4824,2^3*3^2*67,211,"G: one dominant prime factor in lcm(a,b)",67,4,1809;2881;3609;4681,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 1]; 67^1 mod 67: [0, 58]",,False
27,29,79,9164,2291,29*79,204,"G: one dominant prime factor in lcm(a,b)",79,4,553;6293;6873;9137,"29^1 mod 29: [0, 2]; 79^1 mod 79: [0, 52]",,False
103,56,356,4984,4984,2^3*7*89,202,"G: one dominant prime factor in lcm(a,b)",89,4,609;3649;4361;4881,"2^3 mod 8: [0, 1]; 7^1 mod 7: [0, 2]; 89^1 mod 89: [0, 75]",,False
71,124,160,4960,4960,2^5*5*31,200,"G: one dominant prime factor in lcm(a,b)",31,4,1209;2905;4185;4889,"2^5 mod 32: [0, 25]; 5^1 mod 5: [0, 4]; 31^1 mod 31: [0, 22]",,False
143,14,558,7812,3906,2*3^2*7*31,199,"G: one dominant prime factor in lcm(a,b)",31,8,217;837;973;1593;1953;2709;6913;7669,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 1]; 7^1 mod 7: [0, 4]; 31^1 mod 31: [0, 12]",,False
143,24,548,3288,3288,2^3*3*137,199,"F5: a=24, b=4p, p=d-6",137,4,1233;2049;2329;3145,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 137^1 mod 137: [0, 131]",0;131,True
95,78,302,23556,11778,2*3*13*151,198,"G: one dominant prime factor in lcm(a,b)",151,8,2869;2925;5889;10777;13741;15609;18573;23461,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 13^1 mod 13: [0, 9]; 151^1 mod 151: [0, 56]",,False
27,41,67,10988,2747,41*67,198,"G: one dominant prime factor in lcm(a,b)",67,4,3417;4797;8241;10961,"41^1 mod 41: [0, 14]; 67^1 mod 67: [0, 40]",,False
79,128,188,6016,6016,2^7*47,196,"G: one dominant prime factor in lcm(a,b)",47,2,1457;5937,"2^7 mod 128: [0, 49]; 47^1 mod 47: [0, 15]",,False
63,116,136,3944,3944,2^3*17*29,196,"G: one dominant prime factor in lcm(a,b)",29,4,2465;2929;3417;3881,"2^3 mod 8: [0, 1]; 17^1 mod 17: [0, 5]; 29^1 mod 29: [0, 24]",,False
191,24,740,4440,4440,2^3*3*5*37,195,"G: one dominant prime factor in lcm(a,b)",37,8,105;1369;1585;1665;2769;3145;4249;4329,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 4]; 37^1 mod 37: [0, 31]",,False
119,72,404,7272,7272,2^3*3^2*101,193,"G: one dominant prime factor in lcm(a,b)",101,4,4545;5353;6345;7153,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 7]; 101^1 mod 101: [0, 83]",,False
111,16,428,1712,1712,2^4*107,191,"G: one dominant prime factor in lcm(a,b)",107,2,321;1601,"2^4 mod 16: [0, 1]; 107^1 mod 107: [0, 103]",,False
155,2,618,1236,618,2*3*103,190,"G: one dominant prime factor in lcm(a,b)",103,4,309;669;721;1081,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 103^1 mod 103: [0, 51]",0;51,True
31,23,101,9292,2323,23*101,190,"G: one dominant prime factor in lcm(a,b)",101,4,1717;5221;6969;9261,"23^1 mod 23: [0, 15]; 101^1 mod 101: [0, 70]",,False
111,100,344,8600,8600,2^3*5^2*43,190,"G: one dominant prime factor in lcm(a,b)",43,4,3225;5289;6425;8489,"2^3 mod 8: [0, 1]; 5^2 mod 25: [0, 14]; 43^1 mod 43: [0, 18]",,False
83,14,318,4452,2226,2*3*7*53,186,"G: one dominant prime factor in lcm(a,b)",53,8,477;553;1113;1401;2037;3445;4081;4369,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 1]; 53^1 mod 53: [0, 23]",,False
35,58,82,4756,2378,2*29*41,186,"G: one dominant prime factor in lcm(a,b)",41,4,1189;1769;4141;4721,"2^1 mod 2: [0, 1]; 29^1 mod 29: [0, 23]; 41^1 mod 41: [0, 6]",,False
75,7,293,8204,2051,7*293,185,"G: one dominant prime factor in lcm(a,b)",293,4,1465;4613;6153;8129,"7^1 mod 7: [0, 2]; 293^1 mod 293: [0, 218]",,False
35,19,121,9196,2299,11^2*19,183,"G: one dominant prime factor in lcm(a,b)",19,4,2869;3993;6897;9161,"11^2 mod 121: [0, 86]; 19^1 mod 19: [0, 3]",,False
191,12,752,2256,2256,2^4*3*47,181,"G: one dominant prime factor in lcm(a,b)",47,4,561;705;2065;2209,"2^4 mod 16: [0, 1]; 3^1 mod 3: [0, 1]; 47^1 mod 47: [0, 44]",,False
27,37,71,10508,2627,37*71,180,"G: one dominant prime factor in lcm(a,b)",71,4,1961;5893;7881;10481,"37^1 mod 37: [0, 10]; 71^1 mod 71: [0, 44]",,False
51,25,179,17900,4475,5^2*179,179,"G: one dominant prime factor in lcm(a,b)",179,4,5549;7825;13425;17849,"5^2 mod 25: [0, 24]; 179^1 mod 179: [0, 128]",,False
103,188,224,10528,10528,2^5*7*47,178,"G: one dominant prime factor in lcm(a,b)",47,4,2585;2905;5593;10425,"2^5 mod 32: [0, 25]; 7^1 mod 7: [0, 2]; 47^1 mod 47: [0, 38]",,False
111,40,404,4040,4040,2^3*5*101,177,"G: one dominant prime factor in lcm(a,b)",101,4,505;1505;2929;3929,"2^3 mod 8: [0, 1]; 5^1 mod 5: [0, 4]; 101^1 mod 101: [0, 91]",,False
39,47,109,20492,5123,47*109,177,"G: one dominant prime factor in lcm(a,b)",109,4,1269;14061;15369;20453,"47^1 mod 47: [0, 8]; 109^1 mod 109: [0, 70]",,False
159,16,620,2480,2480,2^4*5*31,174,"G: one dominant prime factor in lcm(a,b)",31,4,465;961;1825;2321,"2^4 mod 16: [0, 1]; 5^1 mod 5: [0, 1]; 31^1 mod 31: [0, 27]",,False
51,62,142,8804,4402,2*31*71,174,"G: one dominant prime factor in lcm(a,b)",71,4,1065;1085;2201;8753,"2^1 mod 2: [0, 1]; 31^1 mod 31: [0, 11]; 71^1 mod 71: [0, 20]",,False
119,180,296,13320,13320,2^3*3^2*5*37,174,"G: one dominant prime factor in lcm(a,b)",37,8,1665;2545;4921;7281;7585;9945;12321;13201,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 7]; 5^1 mod 5: [0, 1]; 37^1 mod 37: [0, 29]",,False
51,38,166,6308,3154,2*19*83,173,"G: one dominant prime factor in lcm(a,b)",83,4,1577;3901;3933;6257,"2^1 mod 2: [0, 1]; 19^1 mod 19: [0, 6]; 83^1 mod 83: [0, 32]",,False
79,116,200,5800,5800,2^3*5^2*29,173,"G: one dominant prime factor in lcm(a,b)",29,4,3625;4321;5025;5721,"2^3 mod 8: [0, 1]; 5^2 mod 25: [0, 21]; 29^1 mod 29: [0, 8]",,False
71,90,194,17460,8730,2*3^2*5*97,171,"G: one dominant prime factor in lcm(a,b)",97,8,4365;6525;8245;10405;11349;13509;15229;17389,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 1]; 5^1 mod 5: [0, 4]; 97^1 mod 97: [0, 26]",,False
87,112,236,6608,6608,2^4*7*59,169,"G: one dominant prime factor in lcm(a,b)",59,4,1593;3689;5369;6521,"2^4 mod 16: [0, 9]; 7^1 mod 7: [0, 4]; 59^1 mod 59: [0, 31]",,False
139,2,554,1108,554,2*277,168,"F2: a=2, b=2p, p=2d-1",277,2,277;969,"2^1 mod 2: [0, 1]; 277^1 mod 277: [0, 138]",0;138,True
87,64,284,4544,4544,2^6*71,168,"G: one dominant prime factor in lcm(a,b)",71,2,1065;4457,"2^6 mod 64: [0, 41]; 71^1 mod 71: [0, 55]",,False
