residue,method,d,a,b
805,general_key_d_3,3,4,8
806,formula_even,,,
807,formula_divisible_by_3,,,
808,formula_even,,,
809,general_key_d_7,7,4,24
810,formula_even,,,
811,formula_3_mod_4,,,
812,formula_even,,,
813,formula_divisible_by_3,,,
814,formula_even,,,
815,formula_3_mod_4,,,
816,formula_even,,,
817,general_key_d_3,3,2,10
818,formula_even,,,
819,formula_divisible_by_3,,,
820,formula_even,,,
821,general_key_d_3,3,4,8
822,formula_even,,,
823,formula_3_mod_4,,,
824,formula_even,,,
825,formula_divisible_by_3,,,
826,formula_even,,,
827,formula_3_mod_4,,,
828,formula_even,,,
829,general_key_d_3,3,4,8
830,formula_even,,,
831,formula_divisible_by_3,,,
832,formula_even,,,
833,general_key_d_7,7,4,24
834,formula_even,,,
835,formula_3_mod_4,,,
836,formula_even,,,
837,formula_divisible_by_3,,,
838,formula_even,,,
839,formula_3_mod_4,,,
